SGG_nm,SGG_cd,BJD_nm,BJD_eng_nm,BJD_cd,y,avg_apt_age,avg_TF_large,cnt,rate_big_area_m2,pop_50_69,rate_buy,rate_welfare_recipient,avg_D_Sub
영등포구,11560,양평동3가,Yangpyeong-dong 3(sam)-ga,12700,16.35904248,21.47333333,0,7,0.073460722,1262.833333,0.156133829,1.747780923,404.3304059
영등포구,11560,양평동4가,Yangpyeong-dong 4(sa)-ga,12800,16.18957457,27.3220339,0,3,0.024173028,876.25,0.204819277,1.261346487,244.0630633
영등포구,11560,양평동5가,Yangpyeong-dong 5(o)-ga,12900,16.44314099,26.67346939,0.5,2,0.016440315,876.25,0.175257732,1.261346487,227.9790642
영등포구,11560,양평동6가,Yangpyeong-dong 6(yuk)-ga,13000,16.1934279,21.675,0,2,0.151452282,876.25,0.201388889,1.261346487,479.8903531
영등포구,11560,신길동,Singil-dong,13200,16.4910001,16.10714286,0.172413793,29,0.072304534,30019.5,0.091135562,4.303996781,516.2369561
영등포구,11560,대림동,Daerim-dong,13300,16.07366849,17.77121771,0.05,20,0.031895962,17752.75,0.205752212,4.497562955,504.8272796
동작구,11590,노량진동,Noryangjin-dong,10100,16.3256561,21.07172996,0.125,8,0.22249481,7683.5,0.121212121,5.818611927,433.0467506
동작구,11590,상도동,Sangdo-dong,10200,16.6760546,13.47912317,0.115384615,26,0.142558359,28555.5,0.147626618,3.671908161,394.2808929
동작구,11590,본동,Bon-dong,10400,16.53217037,21.57763975,0,9,0.215081967,4443.5,0.117460317,3.908981122,262.173449
동작구,11590,흑석동,Heukseok-dong,10500,16.76036271,16.67656766,0.166666667,12,0.154640371,8730,0.085371276,2.369197068,535.8780516
동작구,11590,동작동,Dongjak-dong,10600,16.64421644,13.32352941,0,4,0.194,4215.25,0.082901554,2.408600607,597.8377191
동작구,11590,사당동,Sadang-dong,10700,16.46367968,21.43001443,0.115384615,26,0.240614709,24933.75,0.104748921,3.01901057,503.6041804
동작구,11590,대방동,Daebang-dong,10800,16.45082782,16.45833333,0.090909091,11,0.056546617,10052,0.195901145,4.004581284,362.5170666
동작구,11590,신대방동,Sindaebang-dong,10900,16.30197173,24.02279202,0.055555556,18,0.218745977,12025,0.131774102,2.770504644,603.0428449
관악구,11620,봉천동,Bongcheon-dong,10100,16.24614939,19.03551046,0.264705882,34,0.15623994,54957.5,0.126270867,4.056607169,623.3496778
관악구,11620,신림동,Sillim-dong,10200,16.01502531,18.01853568,0.151515152,33,0.139958547,65240,0.165909091,5.592474467,1459.706868
관악구,11620,남현동,Namhyeon-dong,10300,16.1701676,13.57627119,0,2,0.110465116,4716.5,0.267676768,2.040017885,697.7403127
서초구,11650,방배동,Bangbae-dong,10100,16.67168821,21.36415363,0,28,0.30428333,31698.5,0.134667655,1.608508726,461.8670015
서초구,11650,양재동,Yangjae-dong,10200,16.48334073,24.73417722,0,5,0.038461538,8921,0.064705882,5.018303246,780.7392078
서초구,11650,우면동,Umyeon-dong,10300,16.66851911,14.13084112,0.133333333,15,0.164683022,5962.75,0.051835853,5.691258671,1317.173237
서초구,11650,잠원동,Jamwon-dong,10600,17.17883118,26.22038567,0.085714286,35,0.295339946,13374,0.091829085,0.638653023,343.8160695
서초구,11650,반포동,Banpo-dong,10700,17.35099706,19.4741573,0.35,21,0.205844523,16865,0.115917283,1.152551059,277.7197609
서초구,11650,서초동,Seocho-dong,10800,16.7002524,18.94782609,0.093023256,43,0.287456869,23609.5,0.115978759,0.870510246,468.3388275
서초구,11650,내곡동,Naegok-dong,10900,16.65309474,8.717391304,1,2,0.232806493,1644.166667,0.027995521,4.657202216,909.0524136
서초구,11650,신원동,Sinwon-dong,11100,16.81497466,8.826086957,0,5,0.150458716,1644.166667,0.038506418,4.657202216,580.2723901
강남구,11680,역삼동,Yeoksam-dong,10100,16.86167552,17.53057851,0.038461538,26,0.154564315,14669,0.090627236,2.334558035,408.6973675
강남구,11680,개포동,Gaepo-dong,10300,17.2047235,21.03686636,0.409090909,22,0.114977362,14874.08333,0.065360674,2.040156604,435.6135899
강남구,11680,청담동,Cheongdam-dong,10400,16.96756658,18.87739464,0,16,0.438195548,6739,0.099507928,0.901622921,383.6764832
강남구,11680,삼성동,Samseong-dong,10500,16.97072128,18.27173913,0.047619048,21,0.243853986,10837.5,0.084633256,1.578113075,204.8625206
강남구,11680,대치동,Daechi-dong,10600,17.08573903,31.01917404,0.238095238,21,0.329033348,23250.83333,0.05801105,0.909721687,392.6185214
