"year","team","name","ERA","G","W","L","SV","HLD","WPCT","IP","H","HR","BB","HBP","SO","R","ER","WHIP","CG","SHO","QS","BSV","TBF","NP","AVG","2B","3B","SAC","SF","IBB","WP","BK","GS","Wgs","Wgr","GF","SVO","TS","GDP","GO","AO","GO_AO","BABIP","P_G","P_IP","K_9","BB_9","K_BB","OBP","SLG","OPS","rank_sv","closer","is_fa","log_salary"
2020,"롯데","최준용","4.85",31,0,2,0,8,"0.000",29.6666666666667,31,3,11,2,26,16,16,"1.42",0,0,0,0,130,482,"0.270",7,1,2,0,4,3,0,0,0,0,9,8,0,2,19,39,"0.49",0.326,15.5,"16.2","7.89","3.34","2.36",0.344,"0.426",0.77,2,"0",0,8.34283980427146
2020,"롯데","박진형","5.70",53,1,4,0,17,"0.200",42.6666666666667,56,7,13,4,50,27,27,"1.62",0,0,0,3,194,802,"0.320",15,2,1,1,2,3,0,0,0,1,3,23,0,5,40,30,"1.33",0.412,15.1,"18.8","10.55","2.74","3.85",0.378,"0.549",0.927,2,"0",0,9.39266192877014
2020,"롯데","송승준","6.20",22,2,2,0,1,"0.500",24.6666666666667,30,2,14,3,25,17,17,"1.78",0,0,0,0,119,457,"0.303",5,2,2,1,2,3,0,1,0,2,4,2,0,2,28,17,"1.65",0.384,20.8,"18.5","9.12","5.11","1.79",0.402,"0.455",0.857,2,"0",0,8.51719319141624
2020,"롯데","진명호","7.18",37,0,1,0,2,"0.000",31.3333333333333,29,3,22,2,32,25,25,"1.63",0,0,0,1,146,562,"0.242",5,1,1,1,0,1,0,0,0,0,7,8,0,2,32,28,"1.14",0.302,15.2,"17.9","9.19","6.32","1.45",0.366,"0.375",0.741,2,"0",0,8.9226582995244
2020,"롯데","박시영","8.01",36,1,1,0,1,"0.500",30.3333333333333,32,5,23,1,21,27,27,"1.81",0,0,0,0,145,560,"0.281",7,0,2,5,0,1,0,0,0,1,6,2,0,2,26,40,"0.65",0.29,15.6,"18.5","6.23","6.82","0.91",0.392,"0.474",0.866,2,"0",0,8.8246778911642
2020,"KT","이보근","2.51",49,3,1,6,9,"0.750",46.6666666666667,42,2,12,2,27,17,13,"1.16",0,0,0,2,192,719,"0.241",5,0,2,2,1,3,0,0,0,3,15,19,0,7,49,58,"0.84",0.272,14.7,"15.4","5.21","2.31","2.25",0.295,"0.305",0.6,2,"1",0,9.90348755253613
2020,"KT","주권","2.70",77,6,2,0,31,"0.750",70,54,6,32,1,37,25,21,"1.23",0,0,0,6,294,1144,"0.213",11,0,5,3,1,0,0,0,0,6,9,36,0,6,83,82,"1.01",0.225,14.9,"16.3","4.76","4.11","1.16",0.301,"0.328",0.629,5,"0",0,10.1266311038503
2020,"KT","조현우","3.09",54,5,1,1,9,"0.833",46.6666666666667,38,1,22,1,33,16,16,"1.29",0,0,0,1,196,708,"0.226",8,1,4,1,1,3,0,0,0,5,5,14,0,3,47,51,"0.92",0.274,13.1,"15.2","6.36","4.24","1.50",0.318,"0.304",0.622,4,"0",0,8.9226582995244
2020,"KT","김재윤","3.26",56,5,3,21,1,"0.625",60.6666666666667,62,7,15,0,58,23,22,"1.27",0,0,0,7,256,1018,"0.265",4,2,7,0,3,0,0,0,0,5,39,28,3,2,39,75,"0.52",0.325,18.2,"16.8","8.60","2.23","3.87",0.309,"0.389",0.698,1,"1",0,9.74096862303835
2020,"KT","유원상","3.80",62,2,1,2,9,"0.667",64,52,8,28,1,37,32,27,"1.25",0,0,0,1,271,955,"0.218",12,0,0,3,1,5,0,0,0,2,12,13,0,6,65,88,"0.74",0.223,15.4,"14.9","5.20","3.94","1.32",0.299,"0.368",0.667,3,"0",0,8.98719682066197
2020,"KT","전유수","5.12",47,5,4,2,3,"0.556",45.6666666666667,46,3,21,3,27,26,26,"1.47",0,0,0,1,200,771,"0.272",7,1,4,3,5,1,0,0,0,5,11,8,1,3,38,61,"0.62",0.303,16.4,"16.9","5.32","4.14","1.29",0.357,"0.379",0.736,3,"0",0,9.25913053614561
2020,"KT","손동현","5.31",23,0,0,0,1,"-",20.3333333333333,21,5,10,0,12,14,12,"1.52",0,0,0,0,91,342,"0.266",5,0,2,0,1,3,0,0,0,0,5,1,0,1,10,36,"0.28",0.258,14.9,"16.8","5.31","4.43","1.20",0.348,"0.519",0.867,5,"0",0,8.51719319141624
2020,"KT","이대은","5.83",20,0,4,1,0,"0.000",29.3333333333333,36,4,13,5,15,23,19,"1.67",0,0,0,2,142,514,"0.298",6,0,1,2,3,8,0,4,0,0,10,4,0,3,37,35,"1.06",0.308,25.7,"17.5","4.60","3.99","1.15",0.383,"0.446",0.829,4,"0",0,8.51719319141624
2020,"KT","하준호","6.05",42,0,3,0,5,"0.000",41.6666666666667,38,1,27,2,26,30,28,"1.56",0,0,0,1,189,764,"0.239",6,0,1,0,1,2,0,1,0,0,7,7,0,4,40,55,"0.73",0.28,18.2,"18.3","5.62","5.83","0.96",0.356,"0.296",0.652,5,"0",0,8.69951474821019
